timestamp,query,related_top,related_rising
2025-09-15T09:00:12.427641,fenerbahçe - trabzonspor maç kadrosu,"fenerbahçe - trabzonspor maç kadrosu iddaa, fenerbahçe - trabzonspor maç kadrosu gol, fenerbahçe - trabzonspor maç kadrosu son dakika, fenerbahçe - trabzonspor maç kadrosu özet, özet fenerbahçe - trabzonspor maç kadrosu","fenerbahçe - trabzonspor maç kadrosu izle son dakika, fenerbahçe - trabzonspor maç kadrosu canlı son dakika, izle fenerbahçe - trabzonspor maç kadrosu haberleri, canlı fenerbahçe - trabzonspor maç kadrosu haberleri, sonuç fenerbahçe - trabzonspor maç kadrosu haberleri"
2025-09-15T09:00:12.928252,barcelona - valencia,"barcelona - valencia güncel, barcelona - valencia son dakika",
2025-09-15T09:00:13.428572,manchester city - manchester united,"manchester city - manchester united son dakika, manchester city - manchester united güncel",
2025-09-15T09:00:13.929557,türkiye - almanya,"türkiye - almanya son dakika, türkiye - almanya güncel",
2025-09-15T09:00:14.430498,kayserispor - göztepe,"kayserispor - göztepe güncel, kayserispor - göztepe son dakika",
2025-09-15T09:00:14.931526,trabzon belediye başkanı,"trabzon belediye başkanı son dakika, trabzon belediye başkanı güncel",
2025-09-15T09:00:15.432163,gaziantep fk - kocaelispor,"gaziantep fk - kocaelispor güncel, gaziantep fk - kocaelispor son dakika",
2025-09-15T09:00:15.932457,psg - lens,"psg - lens güncel, psg - lens son dakika",
2025-09-15T09:00:16.433407,al nassr - al kholood,"al nassr - al kholood güncel, al nassr - al kholood son dakika",
2025-09-15T09:00:16.934581,burnley - liverpool,"burnley - liverpool son dakika, burnley - liverpool güncel",
2025-09-15T09:00:17.435441,amed - pendikspor,"amed - pendikspor güncel, amed - pendikspor son dakika",
2025-09-15T09:00:17.936445,برشلونة ضد فالنسيا,"برشلونة ضد فالنسيا son dakika, برشلونة ضد فالنسيا güncel",
2025-09-15T09:00:18.437480,milan - bologna,"milan - bologna güncel, milan - bologna son dakika",
2025-09-15T09:00:18.938216,dennis schröder,"dennis schröder güncel, dennis schröder son dakika",
2025-09-15T09:00:19.439123,bursa hava durumu,"bursa hava durumu son dakika, bursa hava durumu güncel",
2025-09-15T10:00:09.567290,fenerbahçe - trabzonspor maç kadrosu,"gol fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu iddaa, fenerbahçe - trabzonspor maç kadrosu özet, iddaa fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu gol","izle fenerbahçe - trabzonspor maç kadrosu haberleri, canlı fenerbahçe - trabzonspor maç kadrosu haberleri, fenerbahçe - trabzonspor maç kadrosu canlı son dakika, fenerbahçe - trabzonspor maç kadrosu izle son dakika, fenerbahçe - trabzonspor maç kadrosu sonuç son dakika"
2025-09-15T10:00:10.068461,barcelona - valencia,"barcelona - valencia son dakika, barcelona - valencia güncel",
2025-09-15T10:00:10.569611,manchester city - manchester united,"manchester city - manchester united son dakika, manchester city - manchester united güncel",
2025-09-15T10:00:11.070695,türkiye - almanya,"türkiye - almanya güncel, türkiye - almanya son dakika",
2025-09-15T10:00:11.571840,trabzon belediye başkanı,"trabzon belediye başkanı güncel, trabzon belediye başkanı son dakika",
2025-09-15T10:00:12.072985,kayserispor - göztepe,"kayserispor - göztepe son dakika, kayserispor - göztepe güncel",
2025-09-15T10:00:12.574142,gaziantep fk - kocaelispor,"gaziantep fk - kocaelispor son dakika, gaziantep fk - kocaelispor güncel",
2025-09-15T10:00:13.075244,al nassr - al kholood,"al nassr - al kholood güncel, al nassr - al kholood son dakika",
2025-09-15T10:00:13.576456,psg - lens,"psg - lens son dakika, psg - lens güncel",
2025-09-15T10:00:14.077602,amed - pendikspor,"amed - pendikspor güncel, amed - pendikspor son dakika",
2025-09-15T10:00:14.578737,togg,"togg güncel, togg son dakika",
2025-09-15T10:00:15.079880,mutlak butlan,"mutlak butlan son dakika, mutlak butlan güncel",
2025-09-15T10:00:15.581025,milan - bologna,"milan - bologna son dakika, milan - bologna güncel",
2025-09-15T10:00:16.082042,ios 26 saat kaçta,"ios 26 saat kaçta güncel, ios 26 saat kaçta son dakika",
2025-09-15T10:00:16.583213,çarpıntı dizisi yeni bölüm,"çarpıntı dizisi yeni bölüm güncel, çarpıntı dizisi yeni bölüm son dakika",
2025-09-15T11:00:10.491195,fenerbahçe - trabzonspor maç kadrosu,"fenerbahçe - trabzonspor maç kadrosu özet, fenerbahçe - trabzonspor maç kadrosu son dakika, özet fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu gol, fenerbahçe - trabzonspor maç kadrosu güncel","fenerbahçe - trabzonspor maç kadrosu sonuç son dakika, fenerbahçe - trabzonspor maç kadrosu izle son dakika, izle fenerbahçe - trabzonspor maç kadrosu haberleri, fenerbahçe - trabzonspor maç kadrosu canlı son dakika, canlı fenerbahçe - trabzonspor maç kadrosu haberleri"
2025-09-15T11:00:10.992267,barcelona - valencia,"barcelona - valencia güncel, barcelona - valencia son dakika",
2025-09-15T11:00:11.493479,manchester city - manchester united,"manchester city - manchester united son dakika, manchester city - manchester united güncel",
2025-09-15T11:00:11.994592,togg,"togg son dakika, togg güncel",
2025-09-15T11:00:12.495713,türkiye - almanya,"türkiye - almanya güncel, türkiye - almanya son dakika",
2025-09-15T11:00:12.996809,kayserispor - göztepe,"kayserispor - göztepe son dakika, kayserispor - göztepe güncel",
2025-09-15T11:00:13.497815,trabzon belediye başkanı,"trabzon belediye başkanı son dakika, trabzon belediye başkanı güncel",
2025-09-15T11:00:13.998934,gaziantep fk - kocaelispor,"gaziantep fk - kocaelispor son dakika, gaziantep fk - kocaelispor güncel",
2025-09-15T11:00:14.500039,mutlak butlan,"mutlak butlan son dakika, mutlak butlan güncel",
2025-09-15T11:00:15.001162,al nassr - al kholood,"al nassr - al kholood son dakika, al nassr - al kholood güncel",
2025-09-15T11:00:15.502269,psg - lens,"psg - lens son dakika, psg - lens güncel",
2025-09-15T11:00:16.003516,the pitt,"the pitt son dakika, the pitt güncel",
2025-09-15T11:00:16.504641,milan - bologna,"milan - bologna son dakika, milan - bologna güncel",
2025-09-15T11:00:17.005774,ios 26 saat kaçta,"ios 26 saat kaçta son dakika, ios 26 saat kaçta güncel",
2025-09-15T11:00:17.506915,hannah einbinder,"hannah einbinder son dakika, hannah einbinder güncel",
2025-09-15T12:00:15.571051,fenerbahçe - trabzonspor maç kadrosu,"iddaa fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu güncel, fenerbahçe - trabzonspor maç kadrosu gol, özet fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu özet","fenerbahçe - trabzonspor maç kadrosu canlı son dakika, canlı fenerbahçe - trabzonspor maç kadrosu haberleri, sonuç fenerbahçe - trabzonspor maç kadrosu haberleri, fenerbahçe - trabzonspor maç kadrosu izle son dakika, fenerbahçe - trabzonspor maç kadrosu sonuç son dakika"
2025-09-15T12:00:16.071990,barcelona - valencia,"barcelona - valencia son dakika, barcelona - valencia güncel",
2025-09-15T12:00:16.573045,togg,"togg güncel, togg son dakika",
2025-09-15T12:00:17.073542,manchester city - manchester united,"manchester city - manchester united son dakika, manchester city - manchester united güncel",
2025-09-15T12:00:17.574485,türkiye - almanya,"türkiye - almanya güncel, türkiye - almanya son dakika",
2025-09-15T12:00:18.075584,lütfü savaş,"lütfü savaş son dakika, lütfü savaş güncel",
2025-09-15T12:00:18.576475,trabzon belediye başkanı,"trabzon belediye başkanı güncel, trabzon belediye başkanı son dakika",
2025-09-15T12:00:19.077558,psg - lens,"psg - lens güncel, psg - lens son dakika",
2025-09-15T12:00:19.578648,al nassr - al kholood,"al nassr - al kholood güncel, al nassr - al kholood son dakika",
2025-09-15T12:00:20.079580,hannah einbinder,"hannah einbinder son dakika, hannah einbinder güncel",
2025-09-15T12:00:20.580642,the pitt,"the pitt güncel, the pitt son dakika",
2025-09-15T12:00:21.081652,ios 26 saat kaçta,"ios 26 saat kaçta son dakika, ios 26 saat kaçta güncel",
2025-09-15T12:00:21.582650,tesla,"tesla son dakika, tesla güncel",
2025-09-15T12:00:22.083675,bist 100,"bist 100 son dakika, bist 100 güncel",
2025-09-15T12:00:22.584715,masterchef kim elendi masterchef türkiye,"masterchef kim elendi masterchef türkiye son dakika, masterchef kim elendi masterchef türkiye güncel",
2025-09-15T12:15:11.495488,fenerbahçe - trabzonspor maç kadrosu,"fenerbahçe - trabzonspor maç kadrosu gol, fenerbahçe - trabzonspor maç kadrosu son dakika, fenerbahçe - trabzonspor maç kadrosu iddaa, özet fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu özet","canlı fenerbahçe - trabzonspor maç kadrosu haberleri, fenerbahçe - trabzonspor maç kadrosu izle son dakika, sonuç fenerbahçe - trabzonspor maç kadrosu haberleri, izle fenerbahçe - trabzonspor maç kadrosu haberleri, fenerbahçe - trabzonspor maç kadrosu canlı son dakika"
2025-09-15T12:15:11.996107,barcelona - valencia,"barcelona - valencia güncel, barcelona - valencia son dakika",
2025-09-15T12:15:12.497107,togg,"togg güncel, togg son dakika",
2025-09-15T12:15:12.998184,manchester city - manchester united,"manchester city - manchester united güncel, manchester city - manchester united son dakika",
2025-09-15T12:15:13.498496,türkiye - almanya,"türkiye - almanya son dakika, türkiye - almanya güncel",
2025-09-15T12:15:13.999282,lütfü savaş,"lütfü savaş son dakika, lütfü savaş güncel",
2025-09-15T12:15:14.500485,kayserispor - göztepe,"kayserispor - göztepe son dakika, kayserispor - göztepe güncel",
2025-09-15T12:15:15.001545,trabzon belediye başkanı,"trabzon belediye başkanı son dakika, trabzon belediye başkanı güncel",
2025-09-15T12:15:15.502632,psg - lens,"psg - lens güncel, psg - lens son dakika",
2025-09-15T12:15:16.003688,al nassr - al kholood,"al nassr - al kholood güncel, al nassr - al kholood son dakika",
2025-09-15T12:15:16.504570,hannah einbinder,"hannah einbinder son dakika, hannah einbinder güncel",
2025-09-15T12:15:17.005468,bist 100,"bist 100 güncel, bist 100 son dakika",
2025-09-15T12:15:17.506482,ios 26 saat kaçta,"ios 26 saat kaçta güncel, ios 26 saat kaçta son dakika",
2025-09-15T12:15:18.007208,the pitt,"the pitt son dakika, the pitt güncel",
2025-09-15T12:15:18.507407,masterchef kim elendi masterchef türkiye,"masterchef kim elendi masterchef türkiye güncel, masterchef kim elendi masterchef türkiye son dakika",
2025-09-15T12:19:52.026156,fenerbahçe - trabzonspor maç kadrosu,"fenerbahçe - trabzonspor maç kadrosu gol, fenerbahçe - trabzonspor maç kadrosu iddaa, özet fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu özet, fenerbahçe - trabzonspor maç kadrosu son dakika","fenerbahçe - trabzonspor maç kadrosu sonuç son dakika, fenerbahçe - trabzonspor maç kadrosu canlı son dakika, fenerbahçe - trabzonspor maç kadrosu izle son dakika, izle fenerbahçe - trabzonspor maç kadrosu haberleri, sonuç fenerbahçe - trabzonspor maç kadrosu haberleri"
2025-09-15T12:19:52.526674,barcelona - valencia,"barcelona - valencia güncel, barcelona - valencia son dakika",
2025-09-15T12:19:53.027611,togg,"togg güncel, togg son dakika",
2025-09-15T12:19:53.528384,manchester city - manchester united,"manchester city - manchester united güncel, manchester city - manchester united son dakika",
2025-09-15T12:19:54.031092,türkiye - almanya,"türkiye - almanya güncel, türkiye - almanya son dakika",
2025-09-15T12:19:54.531678,lütfü savaş,"lütfü savaş güncel, lütfü savaş son dakika",
2025-09-15T12:19:55.032424,kayserispor - göztepe,"kayserispor - göztepe güncel, kayserispor - göztepe son dakika",
2025-09-15T12:19:55.533307,trabzon belediye başkanı,"trabzon belediye başkanı son dakika, trabzon belediye başkanı güncel",
2025-09-15T12:19:56.034118,psg - lens,"psg - lens son dakika, psg - lens güncel",
2025-09-15T12:19:56.534431,al nassr - al kholood,"al nassr - al kholood son dakika, al nassr - al kholood güncel",
2025-09-15T12:19:57.035226,hannah einbinder,"hannah einbinder güncel, hannah einbinder son dakika",
2025-09-15T12:19:57.535442,bist 100,"bist 100 son dakika, bist 100 güncel",
2025-09-15T12:19:58.038659,ios 26 saat kaçta,"ios 26 saat kaçta son dakika, ios 26 saat kaçta güncel",
2025-09-15T12:19:58.539579,the pitt,"the pitt son dakika, the pitt güncel",
2025-09-15T12:19:59.040497,masterchef kim elendi masterchef türkiye,"masterchef kim elendi masterchef türkiye güncel, masterchef kim elendi masterchef türkiye son dakika",
2025-09-15T13:00:17.678892,fenerbahçe - trabzonspor maç kadrosu,"gol fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu özet, özet fenerbahçe - trabzonspor maç kadrosu, fenerbahçe - trabzonspor maç kadrosu güncel, fenerbahçe - trabzonspor maç kadrosu iddaa","fenerbahçe - trabzonspor maç kadrosu sonuç son dakika, izle fenerbahçe - trabzonspor maç kadrosu haberleri, canlı fenerbahçe - trabzonspor maç kadrosu haberleri, fenerbahçe - trabzonspor maç kadrosu canlı son dakika, sonuç fenerbahçe - trabzonspor maç kadrosu haberleri"
2025-09-15T13:00:18.179998,barcelona - valencia,"barcelona - valencia son dakika, barcelona - valencia güncel",
2025-09-15T13:00:18.680685,manchester city - manchester united,"manchester city - manchester united son dakika, manchester city - manchester united güncel",
2025-09-15T13:00:19.181729,togg,"togg son dakika, togg güncel",
2025-09-15T13:00:19.682847,türkiye - almanya,"türkiye - almanya son dakika, türkiye - almanya güncel",
2025-09-15T13:00:20.183993,chp kurultay,"chp kurultay güncel, chp kurultay son dakika",
2025-09-15T13:00:20.685105,trabzon belediye başkanı,"trabzon belediye başkanı güncel, trabzon belediye başkanı son dakika",
2025-09-15T13:00:21.186235,al nassr - al kholood,"al nassr - al kholood güncel, al nassr - al kholood son dakika",
2025-09-15T13:00:21.687464,hannah einbinder,"hannah einbinder güncel, hannah einbinder son dakika",
2025-09-15T13:00:22.188625,ios 26 saat kaçta,"ios 26 saat kaçta güncel, ios 26 saat kaçta son dakika",
2025-09-15T13:00:22.689769,the pitt,"the pitt son dakika, the pitt güncel",
2025-09-15T13:00:23.190659,masterchef kim elendi masterchef türkiye,"masterchef kim elendi masterchef türkiye güncel, masterchef kim elendi masterchef türkiye son dakika",
2025-09-15T13:00:23.691809,adolescence,"adolescence güncel, adolescence son dakika",
2025-09-15T13:00:24.192958,kayserispor - göztepe,"kayserispor - göztepe güncel, kayserispor - göztepe son dakika",
2025-09-15T13:00:24.693925,vuslat doğan sabancı,"vuslat doğan sabancı güncel, vuslat doğan sabancı son dakika",
2025-09-15T13:33:57.291637,fenerbahçe - trabzonspor maç kadrosu,"fenerbahçe - trabzonspor maç kadrosu iddaa, fenerbahçe - trabzonspor maç kadrosu özet, fenerbahçe - trabzonspor maç kadrosu son dakika, fenerbahçe - trabzonspor maç kadrosu gol, fenerbahçe - trabzonspor maç kadrosu güncel","sonuç fenerbahçe - trabzonspor maç kadrosu haberleri, canlı fenerbahçe - trabzonspor maç kadrosu haberleri, fenerbahçe - trabzonspor maç kadrosu sonuç son dakika, fenerbahçe - trabzonspor maç kadrosu canlı son dakika, fenerbahçe - trabzonspor maç kadrosu izle son dakika"
2025-09-15T13:33:57.792582,barcelona - valencia,"barcelona - valencia son dakika, barcelona - valencia güncel",
2025-09-15T13:33:58.293431,manchester city - manchester united,"manchester city - manchester united son dakika, manchester city - manchester united güncel",
2025-09-15T13:33:58.793710,togg,"togg son dakika, togg güncel",
