timestamp,query,volume,related_top,related_rising
2026-09-25T19:01:20.240650,türkiye fransa maçı,50 B+,"türkiye fransa maçı son dakika, türkiye fransa maçı güncel",
2026-09-25T19:01:20.741470,banka,20 B+,"banka son dakika, banka güncel",
2026-09-25T19:01:21.241851,benzin zammı,20 B+,"benzin zammı son dakika, benzin zammı güncel",
2026-09-25T19:01:21.742700,avustralya - brezilya,20 B+,"avustralya - brezilya güncel, avustralya - brezilya son dakika",
2026-09-25T19:01:22.243483,mert hakan yandaş,5 B+,"mert hakan yandaş güncel, mert hakan yandaş son dakika",
2026-09-25T19:01:22.744087,elektrik,5 B+,"elektrik güncel, elektrik son dakika",
2026-09-25T19:01:23.244915,harun özgür yıldızlı,5 B+,"harun özgür yıldızlı güncel, harun özgür yıldızlı son dakika",
2026-09-25T19:01:23.745864,ilkay gündoğan,5 B+,"ilkay gündoğan son dakika, ilkay gündoğan güncel",
2026-09-25T19:01:24.246803,gedson fernandes,5 B+,"gedson fernandes son dakika, gedson fernandes güncel",
2026-09-25T19:01:24.747781,numan kurtulmuş,2 B+,"numan kurtulmuş son dakika, numan kurtulmuş güncel",
2026-09-25T19:01:25.248834,emlak katılım,10 B+,"emlak katılım güncel, emlak katılım son dakika",
2026-09-25T19:01:25.749947,polis memuru,1 B+,"polis memuru güncel, polis memuru son dakika",
2026-09-25T19:01:26.250871,portekiz - galler,100 B+,"portekiz - galler son dakika, portekiz - galler güncel",
2026-09-25T19:01:26.751903,türkiye futbol federasyonu,5 B+,"türkiye futbol federasyonu son dakika, türkiye futbol federasyonu süper lig, transfer türkiye futbol federasyonu, türkiye futbol federasyonu güncel, haber türkiye futbol federasyonu","türkiye futbol federasyonu analiz son dakika, analiz türkiye futbol federasyonu haberleri"
2026-09-25T19:01:27.252808,yapay zekâ,500+,"yapay zekâ güncel, yapay zekâ son dakika",
2026-09-25T20:01:12.011828,türkiye maçı hangi kanalda,50 B+,"türkiye maçı hangi kanalda güncel, türkiye maçı hangi kanalda son dakika",
2026-09-25T20:01:12.512574,banka,20 B+,"banka son dakika, banka güncel",
2026-09-25T20:01:13.013380,benzin zammı,20 B+,"benzin zammı güncel, benzin zammı son dakika",
2026-09-25T20:01:13.514056,elektrik,5 B+,"elektrik son dakika, elektrik güncel",
2026-09-25T20:01:14.014856,mert hakan yandaş,5 B+,"mert hakan yandaş güncel, mert hakan yandaş son dakika",
2026-09-25T20:01:14.515893,türkiye futbol federasyonu,5 B+,"türkiye futbol federasyonu transfer, türkiye futbol federasyonu süper lig, türkiye futbol federasyonu son dakika, transfer türkiye futbol federasyonu, türkiye futbol federasyonu güncel","analiz türkiye futbol federasyonu haberleri, türkiye futbol federasyonu analiz son dakika"
2026-09-25T20:01:15.016728,ilkay gündoğan,5 B+,"ilkay gündoğan güncel, ilkay gündoğan son dakika",
2026-09-25T20:01:15.517580,gedson fernandes,5 B+,"gedson fernandes son dakika, gedson fernandes güncel",
2026-09-25T20:01:16.018532,numan kurtulmuş,5 B+,"numan kurtulmuş son dakika, numan kurtulmuş güncel",
2026-09-25T20:01:16.518947,polis memuru,2 B+,"polis memuru son dakika, polis memuru güncel",
2026-09-25T20:01:17.019893,taşacak bu deniz ne zaman başlıyor,2 B+,"taşacak bu deniz ne zaman başlıyor son dakika, taşacak bu deniz ne zaman başlıyor güncel",
2026-09-25T20:01:17.520817,avustralya - brezilya,20 B+,"avustralya - brezilya güncel, avustralya - brezilya son dakika",
2026-09-25T20:01:18.021835,portekiz - galler,100 B+,"portekiz - galler son dakika, portekiz - galler güncel",
2026-09-25T20:01:18.522955,hasat,1 B+,"hasat güncel, hasat son dakika",
2026-09-25T20:01:19.023845,emeklilik,20 B+,"emeklilik güncel, emeklilik son dakika",
