timestamp,query,volume,related_top,related_rising
2026-08-03T22:01:18.961857,afet,20 B+,"afet son dakika, afet güncel",
2026-08-03T22:01:19.462589,pavlidis,10 B+,"pavlidis son dakika, pavlidis güncel",
2026-08-03T22:01:19.963035,akbank emekli promosyon,10 B+,"akbank emekli promosyon son dakika, akbank emekli promosyon güncel",
2026-08-03T22:01:20.463875,ağustos ayı enflasyon kira artış oranı,50 B+,"ağustos ayı enflasyon kira artış oranı son dakika, ağustos ayı enflasyon kira artış oranı güncel",
2026-08-03T22:01:20.964646,tahir sarıkaya,5 B+,"tahir sarıkaya son dakika, tahir sarıkaya güncel",
2026-08-03T22:01:21.465016,mauro icardi,10 B+,"mauro icardi güncel, mauro icardi son dakika",
2026-08-03T22:01:21.966341,rashford,5 B+,"rashford son dakika, rashford güncel",
2026-08-03T22:01:22.467090,pasaport,10 B+,"pasaport son dakika, pasaport güncel",
2026-08-03T22:01:22.968033,emekli farkları ne zaman yatacak,5 B+,"emekli farkları ne zaman yatacak güncel, emekli farkları ne zaman yatacak son dakika",
2026-08-03T22:01:23.468947,anket sonuçları,10 B+,"anket sonuçları güncel, anket sonuçları son dakika",
2026-08-03T22:01:23.969797,iban,5 B+,"iban güncel, iban son dakika",
2026-08-03T22:01:24.470702,lyon,10 B+,"lyon son dakika, lyon güncel",
2026-08-03T22:01:24.971579,necmeddin bilal erdoğan,5 B+,"necmeddin bilal erdoğan güncel, necmeddin bilal erdoğan son dakika",
2026-08-03T22:01:25.472198,sarsıntı,10 B+,"sarsıntı son dakika, sarsıntı güncel",
2026-08-03T22:01:25.973099,burs,5 B+,"burs son dakika, burs güncel",
