timestamp,query,volume,related_top,related_rising
2026-09-06T00:01:18.649049,fenerbahçe - beşiktaş maç kadrosu,1 Mn+,"fenerbahçe - beşiktaş maç kadrosu son dakika, fenerbahçe - beşiktaş maç kadrosu gol, özet fenerbahçe - beşiktaş maç kadrosu, iddaa fenerbahçe - beşiktaş maç kadrosu, fenerbahçe - beşiktaş maç kadrosu güncel","fenerbahçe - beşiktaş maç kadrosu sonuç son dakika, fenerbahçe - beşiktaş maç kadrosu canlı son dakika, fenerbahçe - beşiktaş maç kadrosu izle son dakika, izle fenerbahçe - beşiktaş maç kadrosu haberleri, sonuç fenerbahçe - beşiktaş maç kadrosu haberleri"
2026-09-06T00:01:19.149758,serhat mustafa kılıç,200 B+,"serhat mustafa kılıç güncel, serhat mustafa kılıç son dakika",
2026-09-06T00:01:19.650437,fenerbahçe - beşiktaş puan durumları,200 B+,"fenerbahçe - beşiktaş puan durumları güncel, fenerbahçe - beşiktaş puan durumları son dakika",
2026-09-06T00:01:20.150776,erzurumspor - konyaspor,100 B+,"erzurumspor - konyaspor son dakika, erzurumspor - konyaspor güncel",
2026-09-06T00:01:20.651533,voleybol final maçı ne zaman,200 B+,"voleybol final maçı ne zaman güncel, voleybol final maçı ne zaman son dakika",
2026-09-06T00:01:21.152281,benzin,20 B+,"benzin güncel, benzin son dakika",
2026-09-06T00:01:21.652762,mercan köşk oyuncuları,10 B+,"mercan köşk oyuncuları son dakika, mercan köşk oyuncuları güncel",
2026-09-06T00:01:22.153732,tuğba ekinci,10 B+,"tuğba ekinci güncel, tuğba ekinci son dakika",
2026-09-06T00:01:22.655189,hull city - aston villa,20 B+,"hull city - aston villa güncel, hull city - aston villa son dakika",
2026-09-06T00:01:23.155966,emeklilik sistemi,20 B+,"emeklilik sistemi son dakika, emeklilik sistemi güncel",
2026-09-06T00:01:23.657017,inter - napoli,10 B+,"inter - napoli son dakika, inter - napoli güncel",
2026-09-06T00:01:24.157834,hande erçel,5 B+,"hande erçel güncel, hande erçel son dakika",
2026-09-06T00:01:24.658878,devlet bahçeli,20 B+,"devlet bahçeli son dakika, devlet bahçeli güncel",
2026-09-06T00:01:25.159739,yeni banknot,5 B+,"yeni banknot son dakika, yeni banknot güncel",
2026-09-06T00:01:25.660680,ittihad fc - al nassr,5 B+,"ittihad fc - al nassr son dakika, ittihad fc - al nassr güncel",
2026-09-06T01:01:13.020816,serhat mustafa kılıç,200 B+,"serhat mustafa kılıç güncel, serhat mustafa kılıç son dakika",
2026-09-06T01:01:13.521693,fenerbahçe - beşiktaş maç kadrosu,1 Mn+,"fenerbahçe - beşiktaş maç kadrosu iddaa, özet fenerbahçe - beşiktaş maç kadrosu, gol fenerbahçe - beşiktaş maç kadrosu, fenerbahçe - beşiktaş maç kadrosu son dakika, fenerbahçe - beşiktaş maç kadrosu güncel","sonuç fenerbahçe - beşiktaş maç kadrosu haberleri, izle fenerbahçe - beşiktaş maç kadrosu haberleri, fenerbahçe - beşiktaş maç kadrosu sonuç son dakika, fenerbahçe - beşiktaş maç kadrosu izle son dakika, fenerbahçe - beşiktaş maç kadrosu canlı son dakika"
2026-09-06T01:01:14.022656,fenerbahçe - beşiktaş puan durumları,200 B+,"fenerbahçe - beşiktaş puan durumları son dakika, fenerbahçe - beşiktaş puan durumları güncel",
2026-09-06T01:01:14.523486,erzurumspor - konyaspor,100 B+,"erzurumspor - konyaspor son dakika, erzurumspor - konyaspor güncel",
2026-09-06T01:01:15.024272,voleybol final maçı ne zaman,200 B+,"voleybol final maçı ne zaman güncel, voleybol final maçı ne zaman son dakika",
2026-09-06T01:01:15.524780,benzin,20 B+,"benzin son dakika, benzin güncel",
2026-09-06T01:01:16.025678,tuğba ekinci,10 B+,"tuğba ekinci güncel, tuğba ekinci son dakika",
2026-09-06T01:01:16.526548,mercan köşk oyuncuları,20 B+,"mercan köşk oyuncuları güncel, mercan köşk oyuncuları son dakika",
2026-09-06T01:01:17.027440,hull city - aston villa,20 B+,"hull city - aston villa son dakika, hull city - aston villa güncel",
2026-09-06T01:01:17.528421,hande erçel,10 B+,"hande erçel son dakika, hande erçel güncel",
2026-09-06T01:01:18.028873,kpss saat kaçta,20 B+,"kpss saat kaçta güncel, kpss saat kaçta son dakika",
2026-09-06T01:01:18.529757,inter - napoli,10 B+,"inter - napoli güncel, inter - napoli son dakika",
2026-09-06T01:01:19.030763,devlet bahçeli,20 B+,"devlet bahçeli son dakika, devlet bahçeli güncel",
2026-09-06T01:01:19.532333,aziz yıldırım,20 B+,"aziz yıldırım son dakika, aziz yıldırım güncel",
2026-09-06T01:01:20.032853,yeni banknot,5 B+,"yeni banknot son dakika, yeni banknot güncel",
