timestamp,query,volume,related_top,related_rising
2026-09-04T00:01:23.036215,bağ-kur,20 B+,"bağ-kur güncel, bağ-kur son dakika",
2026-09-04T00:01:23.536966,motorine zam,20 B+,"motorine zam güncel, motorine zam son dakika",
2026-09-04T00:01:24.037473,bursaspor - istanbulspor,20 B+,"bursaspor - istanbulspor güncel, bursaspor - istanbulspor son dakika",
2026-09-04T00:01:24.538308,ahmet davutoğlu,10 B+,"ahmet davutoğlu güncel, ahmet davutoğlu son dakika",
2026-09-04T00:01:25.039151,abdulkadir emin önen kızı,10 B+,"abdulkadir emin önen kızı güncel, abdulkadir emin önen kızı son dakika",
2026-09-04T00:01:25.539895,eylül ayı enflasyon kira artış oranı,50 B+,"eylül ayı enflasyon kira artış oranı son dakika, eylül ayı enflasyon kira artış oranı güncel",
2026-09-04T00:01:26.040364,asensio,10 B+,"asensio son dakika, asensio güncel",
2026-09-04T00:01:26.541297,türkiye almanya voleybol maçı,50 B+,"türkiye almanya voleybol maçı son dakika, türkiye almanya voleybol maçı güncel",
2026-09-04T00:01:27.042270,can armando güner,10 B+,"can armando güner son dakika, can armando güner güncel",
2026-09-04T00:01:27.543135,millî savunma bakanlığı,5 B+,"millî savunma bakanlığı güncel, millî savunma bakanlığı son dakika",
2026-09-04T00:01:28.044032,palamut,10 B+,"palamut son dakika, palamut güncel",
2026-09-04T00:01:28.545002,taşınmaz,2 B+,"taşınmaz güncel, taşınmaz son dakika",
2026-09-04T00:01:29.045450,mustafa erhan hekimoğlu,5 B+,"mustafa erhan hekimoğlu son dakika, mustafa erhan hekimoğlu güncel",
2026-09-04T00:01:29.546351,el niño,5 B+,"el niño son dakika, el niño güncel",
2026-09-04T00:01:30.047431,esra erol var mısın yok musun muhammed,5 B+,"esra erol var mısın yok musun muhammed son dakika, esra erol var mısın yok musun muhammed güncel",
2026-09-04T09:01:09.839046,bağ-kur,20 B+,"bağ-kur güncel, bağ-kur son dakika",
2026-09-04T09:01:10.339534,abdulkadir emin önen kızı,20 B+,"abdulkadir emin önen kızı güncel, abdulkadir emin önen kızı son dakika",
2026-09-04T09:01:10.840368,ahmet davutoğlu,10 B+,"ahmet davutoğlu güncel, ahmet davutoğlu son dakika",
2026-09-04T09:01:11.341131,taşınmaz,5 B+,"taşınmaz güncel, taşınmaz son dakika",
2026-09-04T09:01:11.841590,eduardo camavinga,5 B+,"eduardo camavinga son dakika, eduardo camavinga güncel",
2026-09-04T09:01:12.342472,bursaspor - istanbulspor puan durumları,50 B+,"bursaspor - istanbulspor puan durumları güncel, bursaspor - istanbulspor puan durumları son dakika",
2026-09-04T09:01:12.843278,can armando güner,10 B+,"can armando güner son dakika, can armando güner güncel",
2026-09-04T09:01:13.343671,yol yapımı,2 B+,"yol yapımı güncel, yol yapımı son dakika",
2026-09-04T09:01:13.844493,eylül ayı enflasyon kira artış oranı,50 B+,"eylül ayı enflasyon kira artış oranı güncel, eylül ayı enflasyon kira artış oranı son dakika",
2026-09-04T09:01:14.345314,el-musrati,2 B+,"el-musrati güncel, el-musrati son dakika",
2026-09-04T09:01:14.846209,mustafa hekimoğlu,5 B+,"mustafa hekimoğlu güncel, mustafa hekimoğlu son dakika",
2026-09-04T09:01:15.346703,palamut,10 B+,"palamut güncel, palamut son dakika",
2026-09-04T09:01:15.847665,ibb davasında tahliye,5 B+,"ibb davasında tahliye son dakika, ibb davasında tahliye güncel",
2026-09-04T09:01:16.348660,millî savunma bakanlığı,5 B+,"millî savunma bakanlığı güncel, millî savunma bakanlığı son dakika",
2026-09-04T09:01:16.849640,federal rezerv,5 B+,"federal rezerv son dakika, federal rezerv güncel",
