timestamp,query,volume,related_top,related_rising
2025-09-23T00:01:06.678612,ballondor,100 B+,"ballondor son dakika, ballondor güncel",
2025-09-23T00:01:07.179570,marsilya - psg,20 B+,"marsilya - psg son dakika, marsilya - psg güncel",
2025-09-23T00:01:07.680613,napoli - pisa,10 B+,"napoli - pisa güncel, napoli - pisa son dakika",
2025-09-23T00:01:08.181766,uzak şehir canlı izle,20 B+,"uzak şehir canlı izle güncel, uzak şehir canlı izle son dakika",
2025-09-23T00:01:08.682935,2025 ballon d'or,5 B+,"2025 ballon d'or güncel, 2025 ballon d'or son dakika",
2025-09-23T00:01:09.183847,tesla fiyat,20 B+,"tesla fiyat son dakika, tesla fiyat güncel",
2025-09-23T00:01:09.685009,kanal d canlı,50 B+,"kanal d canlı son dakika, kanal d canlı güncel",
2025-09-23T00:01:10.185999,tesla,20 B+,"tesla son dakika, tesla güncel",
2025-09-23T00:01:10.687116,boğaç soydemir,5 B+,"boğaç soydemir son dakika, boğaç soydemir güncel",
2025-09-23T00:01:11.188138,ford,10 B+,"ford güncel, ford son dakika",
2025-09-23T00:01:11.689219,ballon d'or 2025 canlı izle,5 B+,"ballon d'or 2025 canlı izle son dakika, ballon d'or 2025 canlı izle güncel",
2025-09-23T00:01:12.190317,depremler son dakika deprem,200 B+,"depremler son dakika deprem güncel, depremler son dakika deprem son dakika",
2025-09-23T00:01:12.691406,balon dor,5 B+,"balon dor son dakika, balon dor güncel",
2025-09-23T00:01:13.192500,deprem,500 B+,"deprem güncel, deprem son dakika",
2025-09-23T00:01:13.693595,natali yarcan,2 B+,"natali yarcan güncel, natali yarcan son dakika",
2025-09-23T01:01:04.647023,ballondor,100 B+,"ballondor güncel, ballondor son dakika",
2025-09-23T01:01:05.147733,marsilya - psg,20 B+,"marsilya - psg güncel, marsilya - psg son dakika",
2025-09-23T01:01:05.648813,uzak şehir 30 bölüm izle,100 B+,"uzak şehir 30 bölüm izle son dakika, uzak şehir 30 bölüm izle güncel",
2025-09-23T01:01:06.150077,dembele,20 B+,"dembele son dakika, dembele güncel",
2025-09-23T01:01:06.651239,napoli - pisa,10 B+,"napoli - pisa güncel, napoli - pisa son dakika",
2025-09-23T01:01:07.152412,boğaç soydemir,5 B+,"boğaç soydemir güncel, boğaç soydemir son dakika",
2025-09-23T01:01:07.653567,tesla fiyat,20 B+,"tesla fiyat güncel, tesla fiyat son dakika",
2025-09-23T01:01:08.154622,ford,10 B+,"ford güncel, ford son dakika",
2025-09-23T01:01:08.655712,sporting lizbon - moreirense,2 B+,"sporting lizbon - moreirense son dakika, sporting lizbon - moreirense güncel",
2025-09-23T01:01:09.156777,depremler son dakika deprem,5 B+,"depremler son dakika deprem güncel, depremler son dakika deprem son dakika",
2025-09-23T01:01:09.657833,natali yarcan,2 B+,"natali yarcan güncel, natali yarcan son dakika",
2025-09-23T01:01:10.159092,aitana bonmati,2 B+,"aitana bonmati güncel, aitana bonmati son dakika",
2025-09-23T01:01:10.660231,sporting,2 B+,"sporting son dakika, sporting güncel",
2025-09-23T01:01:11.161348,çelik kubbe,1 B+,"çelik kubbe güncel, çelik kubbe son dakika",
2025-09-23T01:01:11.662076,umut nayir,5 B+,"umut nayir son dakika, umut nayir güncel",
2025-09-23T02:01:05.496496,ballondor,50 B+,"ballondor son dakika, ballondor güncel",
2025-09-23T02:01:05.997425,uzak şehir son bölüm,50 B+,"uzak şehir son bölüm son dakika, uzak şehir son bölüm güncel",
2025-09-23T02:01:06.498491,marsilya - psg,20 B+,"marsilya - psg son dakika, marsilya - psg güncel",
2025-09-23T02:01:06.999571,ballondoru kim aldı,50 B+,"ballondoru kim aldı güncel, ballondoru kim aldı son dakika",
2025-09-23T02:01:07.500495,napoli - pisa,10 B+,"napoli - pisa son dakika, napoli - pisa güncel",
2025-09-23T02:01:08.001463,boğaç soydemir,5 B+,"boğaç soydemir güncel, boğaç soydemir son dakika",
2025-09-23T02:01:08.502570,depremler son dakika deprem,5 B+,"depremler son dakika deprem güncel, depremler son dakika deprem son dakika",
2025-09-23T02:01:09.003674,kanal d canlı,100 B+,"kanal d canlı son dakika, kanal d canlı güncel",
2025-09-23T02:01:09.504782,ibrahim çelikkol,2 B+,"ibrahim çelikkol son dakika, ibrahim çelikkol güncel",
2025-09-23T02:01:10.005970,sporting lizbon - moreirense,2 B+,"sporting lizbon - moreirense son dakika, sporting lizbon - moreirense güncel",
2025-09-23T02:01:10.507138,çelik kubbe,1 B+,"çelik kubbe güncel, çelik kubbe son dakika",
2025-09-23T02:01:11.008248,aitana bonmati,2 B+,"aitana bonmati son dakika, aitana bonmati güncel",
2025-09-23T02:01:11.509368,abd menşeli otomobiller vergi indirimi,10 B+,"abd menşeli otomobiller vergi indirimi son dakika, abd menşeli otomobiller vergi indirimi güncel",
2025-09-23T02:01:12.010484,eşref rüya hangi gün,5 B+,"eşref rüya hangi gün son dakika, eşref rüya hangi gün güncel",
2025-09-23T02:01:12.511598,ayşe barım,2 B+,"ayşe barım güncel, ayşe barım son dakika",
