timestamp,rank,label,name,posts,tweet_count,url
2025-09-15T19:40:36.508020,1,,Cennetin Çocukları,,0,https://twitter.com/search?q=Cennetin%20Çocukları
2025-09-15T19:40:36.508034,2,Trending in Turkey,#EmniyetinPromosyonu,11.7K posts,117,https://twitter.com/search?q=%23EmniyetinPromosyonu
2025-09-15T19:40:36.508042,3,Sports · Trending,#FBvTS,45.1K posts,451,https://twitter.com/search?q=%23FBvTS
2025-09-15T19:40:36.508052,4,Sports · Trending,#12DevAdam,96.9K posts,969,https://twitter.com/search?q=%2312DevAdam
2025-09-15T19:40:36.508061,5,Trending in Turkey,#KademeHakkımız,22.2K posts,222,https://twitter.com/search?q=%23KademeHakkımız
2025-09-15T19:40:36.508071,6,Sports · Trending,#milliheyecan,13.9K posts,139,https://twitter.com/search?q=%23milliheyecan
2025-09-15T19:40:36.508081,7,Trending in Turkey,Sedat Peker,15.6K posts,156,https://twitter.com/search?q=Sedat%20Peker
2025-09-15T19:40:36.508089,8,Sports · Trending,Hakem,62.1K posts,621,https://twitter.com/search?q=Hakem
2025-09-15T19:40:36.508101,9,Sports · Trending,Alperen,42.8K posts,428,https://twitter.com/search?q=Alperen
2025-09-15T19:40:36.508110,10,Trending in Turkey,ParlayanYıldız MinaDemirtaş,34.5K posts,345,https://twitter.com/search?q=ParlayanYıldız%20MinaDemirtaş
2025-09-15T19:40:36.508120,11,Trending in Turkey,24 Ekim'e,"4,169 posts",4169,https://twitter.com/search?q=24%20Ekim'e
2025-09-15T19:40:36.508129,12,Sports · Trending,Şike,27.8K posts,278,https://twitter.com/search?q=Şike
2025-09-15T19:40:36.508145,13,Sports · Trending,Ertuğrul,27.9K posts,279,https://twitter.com/search?q=Ertuğrul
2025-09-15T19:40:36.508153,14,Sports · Trending,Larkin,11K posts,11,https://twitter.com/search?q=Larkin
2025-09-15T19:40:36.508162,15,Trending in Turkey,CHP'nin 38,"4,788 posts",4788,https://twitter.com/search?q=CHP'nin%2038
2025-09-15T19:40:36.508170,16,Trending in Turkey,Dirsek,14.2K posts,142,https://twitter.com/search?q=Dirsek
2025-09-15T19:40:36.508178,17,Trending in Turkey,Kırmızı,60.1K posts,601,https://twitter.com/search?q=Kırmızı
2025-09-15T19:40:36.508187,18,Sports · Trending,Fetö,33.2K posts,332,https://twitter.com/search?q=Fetö
2025-09-15T19:40:36.508195,19,Travel · Trending,Togg T10F,"4,258 posts",4258,https://twitter.com/search?q=Togg%20T10F
2025-09-15T19:40:36.508204,20,Entertainment · Trending,Ufuk Özkan,"2,313 posts",2313,https://twitter.com/search?q=Ufuk%20Özkan
2025-09-15T19:40:36.508213,21,Trending in Turkey,Tandoğan,43.1K posts,431,https://twitter.com/search?q=Tandoğan
2025-09-15T19:40:36.508221,22,Sports · Trending,Onuachu,30.5K posts,305,https://twitter.com/search?q=Onuachu
2025-09-15T19:40:36.508230,23,Politics · Trending,Hak Yerini Bulmalı,32.5K posts,325,https://twitter.com/search?q=Hak%20Yerini%20Bulmalı
2025-09-15T19:40:36.508239,24,Trending in Turkey,Faul,38.9K posts,389,https://twitter.com/search?q=Faul
2025-09-15T19:40:36.508247,25,Trending in Turkey,Ankara 42,"3,442 posts",3442,https://twitter.com/search?q=Ankara%2042
2025-09-15T19:40:36.508255,26,Trending in Turkey,3lük,"2,176 posts",2176,https://twitter.com/search?q=3lük
2025-09-15T19:40:36.508264,27,Sports · Trending,Samuel Umtiti,"2,470 posts",2470,https://twitter.com/search?q=Samuel%20Umtiti
2025-09-15T19:40:36.508272,28,Trending in Turkey,Gözaltı,"4,547 posts",4547,https://twitter.com/search?q=Gözaltı
2025-09-15T19:40:36.508281,29,Trending in Turkey,Asliye Hukuk Mahkemesi'nde,"5,107 posts",5107,https://twitter.com/search?q=Asliye%20Hukuk%20Mahkemesi'nde
2025-09-15T19:40:36.508290,30,Sports · Trending,UEFA,24.9K posts,249,https://twitter.com/search?q=UEFA
2025-09-15T19:40:36.508298,31,Trending in Turkey,Kızılcık Şerbeti,12K posts,12,https://twitter.com/search?q=Kızılcık%20Şerbeti
2025-09-16T12:20:49.633886,1,,ŞampiyonlarLigi,,0,https://twitter.com/search?q=ŞampiyonlarLigi
2025-09-16T12:20:49.633901,2,Trending in Turkey,#KalbimizSumud,73.2K posts,732,https://twitter.com/search?q=%23KalbimizSumud
2025-09-16T12:20:49.633907,3,Trending in Turkey,#EmniyetinPromosyonu,88.9K posts,889,https://twitter.com/search?q=%23EmniyetinPromosyonu
2025-09-16T12:20:49.633912,4,Trending in Turkey,#UzakŞehir,69.8K posts,698,https://twitter.com/search?q=%23UzakŞehir
2025-09-16T12:20:49.633917,5,Business & finance · Trending,Işık Ökte,,0,https://twitter.com/search?q=Işık%20Ökte
2025-09-16T12:20:49.633922,6,Only on X · Trending,#salı,"3,280 posts",3280,https://twitter.com/search?q=%23salı
