timestamp,query,volume,related_top,related_rising
2026-08-28T10:01:12.272988,ferençvaroş - trabzonspor,500 B+,"ferençvaroş - trabzonspor son dakika, ferençvaroş - trabzonspor güncel",
2026-08-28T10:01:12.773463,kauno žalgiris - beşiktaş,200 B+,"kauno žalgiris - beşiktaş son dakika, kauno žalgiris - beşiktaş güncel",
2026-08-28T10:01:13.274408,meteorolojik uyarı,200 B+,"meteorolojik uyarı güncel, meteorolojik uyarı son dakika",
2026-08-28T10:01:13.775291,kojo peprah oppong,100 B+,"kojo peprah oppong güncel, kojo peprah oppong son dakika",
2026-08-28T10:01:14.276212,uefa,200 B+,"uefa son dakika, uefa güncel",
2026-08-28T10:01:14.776555,acil durum,5 B+,"acil durum güncel, acil durum son dakika",
2026-08-28T10:01:15.277287,yatırım,10 B+,"yatırım son dakika, yatırım güncel",
2026-08-28T10:01:15.778142,gökyüzü,20 B+,"gökyüzü son dakika, gökyüzü güncel",
2026-08-28T10:01:16.279033,sinan engin,5 B+,"sinan engin son dakika, sinan engin güncel",
2026-08-28T10:01:16.779657,avrupa ligi kura çekimi ne zaman,100 B+,"avrupa ligi kura çekimi ne zaman güncel, avrupa ligi kura çekimi ne zaman son dakika",
2026-08-28T10:01:17.280608,orta saha,5 B+,"orta saha güncel, orta saha son dakika",
2026-08-28T10:01:17.781498,leao aston villa,10 B+,"leao aston villa güncel, leao aston villa son dakika",
2026-08-28T10:01:18.282415,playstation 5,20 B+,"playstation 5 güncel, playstation 5 son dakika",
2026-08-28T10:01:18.783374,togg,20 B+,"togg son dakika, togg güncel",
2026-08-28T10:01:19.284411,stuttgart,5 B+,"stuttgart güncel, stuttgart son dakika",
2026-08-28T11:01:12.121799,ferençvaroş - trabzonspor,500 B+,"ferençvaroş - trabzonspor son dakika, ferençvaroş - trabzonspor güncel",
2026-08-28T11:01:12.622458,kauno žalgiris - beşiktaş,200 B+,"kauno žalgiris - beşiktaş son dakika, kauno žalgiris - beşiktaş güncel",
2026-08-28T11:01:13.123292,meteorolojik uyarı,500 B+,"meteorolojik uyarı güncel, meteorolojik uyarı son dakika",
2026-08-28T11:01:13.624107,kojo peprah oppong,100 B+,"kojo peprah oppong güncel, kojo peprah oppong son dakika",
2026-08-28T11:01:14.124400,fenerbahçe kura çekimi,200 B+,"fenerbahçe kura çekimi son dakika, fenerbahçe kura çekimi güncel",
2026-08-28T11:01:14.625307,uefa,50 B+,"uefa güncel, uefa son dakika",
2026-08-28T11:01:15.125987,acil durum,10 B+,"acil durum güncel, acil durum son dakika",
2026-08-28T11:01:15.626509,orta saha,20 B+,"orta saha son dakika, orta saha güncel",
2026-08-28T11:01:16.127666,yatırım,10 B+,"yatırım son dakika, yatırım güncel",
2026-08-28T11:01:16.628513,sinan engin,10 B+,"sinan engin son dakika, sinan engin güncel",
2026-08-28T11:01:17.129618,gökyüzü,20 B+,"gökyüzü güncel, gökyüzü son dakika",
2026-08-28T11:01:17.630547,başkan,5 B+,"başkan son dakika, başkan güncel",
2026-08-28T11:01:18.131289,playstation 5,50 B+,"playstation 5 son dakika, playstation 5 güncel",
2026-08-28T11:01:18.632130,leao aston villa,20 B+,"leao aston villa güncel, leao aston villa son dakika",
2026-08-28T11:01:19.133100,keçiören belediye başkanı,2 B+,"keçiören belediye başkanı güncel, keçiören belediye başkanı son dakika",
2026-08-28T20:01:11.178661,ferençvaroş - trabzonspor,500 B+,"ferençvaroş - trabzonspor son dakika, ferençvaroş - trabzonspor güncel",
2026-08-28T20:01:11.679224,orta saha,20 B+,"orta saha son dakika, orta saha güncel",
2026-08-28T20:01:12.180071,richard rios,20 B+,"richard rios son dakika, richard rios güncel",
2026-08-28T20:01:12.680376,omonia,100 B+,"omonia güncel, omonia son dakika",
2026-08-28T20:01:13.181229,türkiye polonya voleybol maçı,20 B+,"türkiye polonya voleybol maçı son dakika, türkiye polonya voleybol maçı güncel",
2026-08-28T20:01:13.682125,leao,20 B+,"leao güncel, leao son dakika",
2026-08-28T20:01:14.182930,sarsıntı,10 B+,"sarsıntı son dakika, sarsıntı güncel",
2026-08-28T20:01:14.683230,keçiörengücü - ümraniyespor,2 B+,"keçiörengücü - ümraniyespor güncel, keçiörengücü - ümraniyespor son dakika",
2026-08-28T20:01:15.184124,keçiören belediye başkanı,10 B+,"keçiören belediye başkanı güncel, keçiören belediye başkanı son dakika",
2026-08-28T20:01:15.685100,fatih altaylı,5 B+,"fatih altaylı güncel, fatih altaylı son dakika",
2026-08-28T20:01:16.186045,başkan,20 B+,"başkan güncel, başkan son dakika",
2026-08-28T20:01:16.686947,hoffenheim,10 B+,"hoffenheim güncel, hoffenheim son dakika",
2026-08-28T20:01:17.187889,gaziantep hava durumu,10 B+,"gaziantep hava durumu güncel, gaziantep hava durumu son dakika",
2026-08-28T20:01:17.688638,cengiz ünder,10 B+,"cengiz ünder güncel, cengiz ünder son dakika",
2026-08-28T20:01:18.189316,konferans ligi,200 B+,"konferans ligi son dakika, konferans ligi güncel",
2026-08-28T21:01:13.019660,orta saha,20 B+,"orta saha son dakika, orta saha güncel",
2026-08-28T21:01:13.520199,omonia,100 B+,"omonia güncel, omonia son dakika",
2026-08-28T21:01:14.020947,türkiye polonya voleybol maçı,20 B+,"türkiye polonya voleybol maçı son dakika, türkiye polonya voleybol maçı güncel",
2026-08-28T21:01:14.521940,fatih tekke,200 B+,"fatih tekke güncel, fatih tekke son dakika",
2026-08-28T21:01:15.022757,leao,20 B+,"leao güncel, leao son dakika",
2026-08-28T21:01:15.523338,rafael leao,20 B+,"rafael leao güncel, rafael leao son dakika",
2026-08-28T21:01:16.024046,richard rios,10 B+,"richard rios güncel, richard rios son dakika",
2026-08-28T21:01:16.525098,başkan,20 B+,"başkan güncel, başkan son dakika",
2026-08-28T21:01:17.025938,keçiören belediye başkanı,10 B+,"keçiören belediye başkanı güncel, keçiören belediye başkanı son dakika",
2026-08-28T21:01:17.526411,keçiörengücü - ümraniyespor,5 B+,"keçiörengücü - ümraniyespor güncel, keçiörengücü - ümraniyespor son dakika",
