timestamp,query,volume,related_top,related_rising
2026-08-20T00:03:00.352424,ermedin demirovic,20 B+,"ermedin demirovic son dakika, ermedin demirovic güncel",
2026-08-20T00:03:00.852874,alparslan kuytul kimdir,20 B+,"alparslan kuytul kimdir güncel, alparslan kuytul kimdir son dakika",
2026-08-20T00:03:01.353748,ajet,20 B+,"ajet son dakika, ajet güncel",
2026-08-20T00:03:01.854604,faiz,20 B+,"faiz son dakika, faiz güncel",
2026-08-20T00:03:02.355445,atletico madrid - malaga,10 B+,"atletico madrid - malaga son dakika, atletico madrid - malaga güncel",
2026-08-20T00:03:02.856393,yeni parti,20 B+,"yeni parti son dakika, yeni parti güncel",
2026-08-20T00:03:03.357931,برشلونة ضد الأهلي,5 B+,"برشلونة ضد الأهلي son dakika, برشلونة ضد الأهلي güncel",
2026-08-20T00:03:03.858886,banka,20 B+,"banka güncel, banka son dakika",
2026-08-20T00:03:04.359843,diego carlos,2 B+,"diego carlos güncel, diego carlos son dakika",
2026-08-20T00:03:04.860945,ismaila sarr,10 B+,"ismaila sarr son dakika, ismaila sarr güncel",
2026-08-20T00:03:05.361982,aile destek,2 B+,"aile destek son dakika, aile destek güncel",
2026-08-20T00:03:05.863324,musaba,5 B+,"musaba güncel, musaba son dakika",
2026-08-20T00:03:06.363896,atletico madrid,2 B+,"atletico madrid son dakika, atletico madrid güncel",
2026-08-20T00:03:06.864854,mario lemina,2 B+,"mario lemina son dakika, mario lemina güncel",
2026-08-20T00:03:07.365967,livakovic,2 B+,"livakovic güncel, livakovic son dakika",
2026-08-20T01:01:22.751442,atletico madrid - malaga,10 B+,"atletico madrid - malaga güncel, atletico madrid - malaga son dakika",
2026-08-20T01:01:23.253023,demirovic,20 B+,"demirovic son dakika, demirovic güncel",
2026-08-20T01:01:23.754884,ajet,20 B+,"ajet güncel, ajet son dakika",
2026-08-20T01:01:24.255979,alparslan kuytul kimdir,20 B+,"alparslan kuytul kimdir son dakika, alparslan kuytul kimdir güncel",
2026-08-20T01:01:24.757059,yeni parti,20 B+,"yeni parti güncel, yeni parti son dakika",
2026-08-20T01:01:25.258070,faiz,20 B+,"faiz son dakika, faiz güncel",
2026-08-20T01:01:25.759094,diego carlos,5 B+,"diego carlos son dakika, diego carlos güncel",
2026-08-20T01:01:26.259902,banka,20 B+,"banka son dakika, banka güncel",
2026-08-20T01:01:26.760789,aile destek,2 B+,"aile destek son dakika, aile destek güncel",
2026-08-20T01:01:27.261863,ismaila sarr,10 B+,"ismaila sarr son dakika, ismaila sarr güncel",
2026-08-20T01:01:27.762801,atletico madrid,2 B+,"atletico madrid güncel, atletico madrid son dakika",
2026-08-20T01:01:28.263910,برشلونة ضد الأهلي,5 B+,"برشلونة ضد الأهلي son dakika, برشلونة ضد الأهلي güncel",
2026-08-20T01:01:28.764883,musaba,5 B+,"musaba son dakika, musaba güncel",
2026-08-20T01:01:29.265797,mario lemina,2 B+,"mario lemina son dakika, mario lemina güncel",
2026-08-20T01:01:29.766764,asgari ücrete zam gelecek mi,2 B+,"asgari ücrete zam gelecek mi son dakika, asgari ücrete zam gelecek mi güncel",
2026-08-20T02:01:23.837326,demirovic,20 B+,"demirovic güncel, demirovic son dakika",
2026-08-20T02:01:24.337882,alparslan kuytul kimdir,20 B+,"alparslan kuytul kimdir son dakika, alparslan kuytul kimdir güncel",
2026-08-20T02:01:24.838876,atletico madrid - malaga,10 B+,"atletico madrid - malaga güncel, atletico madrid - malaga son dakika",
2026-08-20T02:01:25.339819,ajet,20 B+,"ajet son dakika, ajet güncel",
2026-08-20T02:01:25.840700,aile destek,5 B+,"aile destek güncel, aile destek son dakika",
2026-08-20T02:01:26.341707,diego carlos,5 B+,"diego carlos güncel, diego carlos son dakika",
2026-08-20T02:01:26.842617,ismaila sarr,10 B+,"ismaila sarr güncel, ismaila sarr son dakika",
2026-08-20T02:01:27.343652,ferdi kadıoğlu,5 B+,"ferdi kadıoğlu son dakika, ferdi kadıoğlu güncel",
2026-08-20T02:01:27.844611,musaba,5 B+,"musaba son dakika, musaba güncel",
2026-08-20T02:01:28.345683,برشلونة ضد الأهلي,5 B+,"برشلونة ضد الأهلي son dakika, برشلونة ضد الأهلي güncel",
2026-08-20T02:01:28.846730,atletico madrid,5 B+,"atletico madrid son dakika, atletico madrid güncel",
2026-08-20T02:01:29.347475,asgari ücrete zam gelecek mi,2 B+,"asgari ücrete zam gelecek mi son dakika, asgari ücrete zam gelecek mi güncel",
2026-08-20T02:01:29.847868,livakovic,2 B+,"livakovic güncel, livakovic son dakika",
2026-08-20T02:01:30.348824,pırıl atasev,2 B+,"pırıl atasev güncel, pırıl atasev son dakika",
2026-08-20T02:01:30.849746,faruk yalçın,5 B+,"faruk yalçın son dakika, faruk yalçın güncel",
2026-08-20T03:01:25.060917,demirovic,20 B+,"demirovic güncel, demirovic son dakika",
2026-08-20T03:01:25.561827,atletico madrid - malaga,10 B+,"atletico madrid - malaga son dakika, atletico madrid - malaga güncel",
2026-08-20T03:01:26.062758,ajet,20 B+,"ajet son dakika, ajet güncel",
2026-08-20T03:01:26.563796,alparslan kuytul kimdir,20 B+,"alparslan kuytul kimdir güncel, alparslan kuytul kimdir son dakika",
2026-08-20T03:01:27.064755,aile destek,5 B+,"aile destek son dakika, aile destek güncel",
2026-08-20T03:01:27.565693,ismaila sarr,10 B+,"ismaila sarr güncel, ismaila sarr son dakika",
